name,note,N,K,M,tile,block_N,block_K,block_M,row_unroll,latency_cycles,actual_mac_per_cycle,actual_ops_per_cycle,actual_gmac_s_at_freq,actual_gops_at_freq,bram18k,dsp,ff,lut,estimated_clock_ns,model_kind,n_blk,m_blk,k_blk,tile_n,tile_m,tile_k,external_ab_combined,local_ab_combined,load_a_ii,load_b_ii,load_ab_ii,store_c_ii,local_a_ii,local_b_ii,local_ab_ii,local_c_read_ii,local_c_write_ii,compute_ii,pipeline_fill_drain_cycles,T_load_per_block,T_one_output_tile,T_local_C_load,T_local_A_load,T_local_B_load,T_local_AB_load,T_compute,T_local_C_store,local_load_store_cycles_per_output_tile,compute_cycles_per_output_tile,local_load_store_share_of_output_tile,local_load_store_dominated,hls_loop_load_cycles,hls_loop_compute_internal_cycles,hls_loop_store_cycles,hls_loop_total_cycles,hls_loop_unexplained_cycles,hls_loop_unexplained_ratio,hls_loop_model_gap,latency_category,deployable_status
O0,serial block load baseline,128,128,128,14,112,112,112,1,381634,5.495191728200318,10.990383456400636,0.5495191728200318,1.0990383456400636,56,196,33470,49206,7.218,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,364,14,14,14,0,14,14,252,112,0.6923076923076923,1,100352,186368,50176,336896,44738,0.11722750069438258,1.132794690349544,T_compute_block_internal,deployable
O1,combined external A/B block load,128,128,128,14,112,112,112,1,381634,5.495191728200318,10.990383456400636,0.5495191728200318,1.0990383456400636,56,196,33282,49023,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,364,14,14,14,0,14,14,252,112,0.6923076923076923,1,100352,186368,50176,336896,44738,0.11722750069438258,1.132794690349544,T_compute_block_internal,deployable
O2,O1 plus row banking/unroll=2,128,128,128,14,112,112,112,2,317122,6.613076355472026,13.226152710944053,0.6613076355472026,1.3226152710944052,84,196,34317,67546,7.143,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,238,7,7,7,0,14,7,126,112,0.5294117647058824,1,100352,121856,50176,272384,44738,0.14107504367404342,1.1642460643796992,T_compute_block_internal,not deployable
O4,local A/B helper,128,128,128,14,112,112,112,1,721602,2.906244716616639,5.812489433233278,0.2906244716616639,0.5812489433233278,56,196,40296,83514,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,1,1,1,1,1,1,1,7,1,1,1,0,12544,924,14,14,14,98,14,14,812,112,0.8787878787878788,1,100352,473088,50176,623616,97986,0.1357895349513998,1.1571255387931034,T_compute_block_internal,not deployable
O5,helper with formal buffer partition pragmas,128,128,128,14,112,112,112,1,721602,2.906244716616639,5.812489433233278,0.2906244716616639,0.5812489433233278,56,196,40296,83514,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,1,1,1,1,1,1,1,7,1,1,1,0,12544,924,14,14,14,98,14,14,812,112,0.8787878787878788,1,100352,473088,50176,623616,97986,0.1357895349513998,1.1571255387931034,T_compute_block_internal,not deployable
O4inline,local A/B helper forced inline,128,128,128,14,112,112,112,1,2988226,0.7018050174250542,1.4036100348501084,0.07018050174250541,0.14036100348501082,56,196,43062,27623,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,1,1,1,1,1,1,1,7,1,1,1,0,12544,924,14,14,14,98,14,14,812,112,0.8787878787878788,1,100352,473088,50176,623616,2364610,0.7913089572207724,4.791772501026273,T_control,deployable
O6a,O1 plus full-block fast path row_unroll=1,128,128,128,14,112,112,112,1,381634,5.495191728200318,10.990383456400636,0.5495191728200318,1.0990383456400636,56,392,62788,69099,7.218,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,364,14,14,14,0,14,14,252,112,0.6923076923076923,1,100352,186368,50176,336896,44738,0.11722750069438258,1.132794690349544,T_compute_block_internal,not deployable
O6b,O2 plus full-block fast path row_unroll=2,128,128,128,14,112,112,112,2,317186,6.611742006267616,13.223484012535232,0.6611742006267616,1.3223484012535232,84,392,64184,134637,7.143,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,238,7,7,7,0,14,7,126,112,0.5294117647058824,1,100352,121856,50176,272384,44802,0.14124835270156944,1.1644810267857142,T_compute_block_internal,not deployable
O1_224_generic,O1 runtime-generic NKM at 224,224,224,224,14,112,112,112,1,381879,29.43189858567766,58.86379717135532,2.9431898585677665,5.886379717135533,56,199,35271,51289,7.653,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,364,14,14,14,0,14,14,252,112,0.6923076923076923,1,100352,186368,50176,336896,44983,0.11779385616910068,1.133521917743161,T_compute_block_internal,deployable
O6c_fullonly_224,O6 compile-time full-only at 224,224,224,224,14,112,112,112,1,381634,29.450793168323578,58.901586336647156,2.945079316832358,5.890158633664716,56,196,29822,19539,7.263,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,364,14,14,14,0,14,14,252,112,0.6923076923076923,1,100352,186368,50176,336896,44738,0.11722750069438258,1.132794690349544,T_compute_block_internal,deployable
O7a,O1 plus row banking/unroll=4,128,128,128,14,112,112,112,4,330946,6.336840451312299,12.673680902624598,0.6336840451312299,1.2673680902624598,224,196,42468,82719,7.246,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,184,4,4,4,0,14,4,72,112,0.391304347826087,0,100352,94208,50176,244736,86210,0.26049566998845736,1.3522571260460252,T_load_AB_block,not deployable
O7b,O1 plus row banking/unroll=7,128,128,128,14,112,112,112,7,413890,5.066930827031337,10.133861654062674,0.5066930827031337,1.0133861654062675,392,196,267912,193181,7.143,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,1,1,1,1,1,1,0,12544,148,2,2,2,0,14,2,36,112,0.24324324324324326,0,100352,75776,50176,226304,187586,0.45322670274710675,1.82891155260181,T_control,not deployable
O8a,local double buffer A1 sequential ping-pong local load II=7,128,128,128,14,112,112,112,1,705730,2.971606705113854,5.943213410227708,0.2971606705113854,0.5943213410227708,56,196,46991,86755,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,7,7,1,1,1,1,0,12544,1708,14,98,98,0,14,14,1596,112,0.9344262295081968,1,100352,874496,50176,1025024,-319294,-0.45243081631785526,0.6885009521728271,T_compute_block_internal,not deployable
O8b,local double buffer A2 static ping-pong no effective dataflow local load II=7,128,128,128,14,112,112,112,1,637122,3.291601922394769,6.583203844789538,0.3291601922394769,0.6583203844789538,56,196,56031,48029,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,7,7,1,1,1,1,0,12544,1708,14,98,98,0,14,14,1596,112,0.9344262295081968,1,100352,874496,50176,1025024,-387902,-0.6088347286704902,0.6215678852397603,T_compute_block_internal,deployable
O8c,local double buffer A2 ktile dataflow csynth estimate cosim stopped local load II=7,128,128,128,14,112,112,112,1,794306,2.640231850193754,5.280463700387508,0.26402318501937544,0.5280463700387509,56,196,87153,85521,7.165,hls_loop_schedule_model,2,2,2,8,8,8,1,0,1,1,1,1,7,7,1,1,1,1,0,12544,1708,14,98,98,0,14,14,1596,112,0.9344262295081968,1,100352,874496,50176,1025024,-230718,-0.2904648838105214,0.7749145385864136,T_compute_block_internal,not deployable
