name,note,N,K,M,tile,block_N,block_K,block_M,row_unroll,latency_cycles,actual_mac_per_cycle,actual_ops_per_cycle,actual_gmac_s_at_freq,actual_gops_at_freq,bram18k,dsp,ff,lut,estimated_clock_ns,model_kind,bound_note,macs,a_bytes,b_bytes,c_bytes,external_bytes,ddr_bytes_per_cycle,compute_roof_mac_per_cycle,n_blk,m_blk,k_blk,tile_n,tile_m,tile_k,ideal_ext_load_cycles,ideal_ext_store_cycles,ideal_external_total_cycles,ideal_compute_cycles,ideal_local_load_cycles,ideal_local_store_cycles,ideal_local_c_load_per_output_tile,ideal_local_a_load_per_k_tile,ideal_local_b_load_per_k_tile,ideal_local_c_store_per_output_tile,ideal_compute_per_k_tile,ideal_internal_tile_cycles,ideal_internal_cycles,ideal_no_overlap_cycles,ideal_roofline_cycles,latency_over_ideal_no_overlap,latency_over_ideal_roofline
O0,serial block load baseline,128,128,128,14,112,112,112,1,381634,5.495191728200318,10.990383456400636,0.5495191728200318,1.0990383456400636,56,196,33470,49206,7.218,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,4.601104359567901,23.2930908203125
O1,combined external A/B block load,128,128,128,14,112,112,112,1,381634,5.495191728200318,10.990383456400636,0.5495191728200318,1.0990383456400636,56,196,33282,49023,7.165,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,4.601104359567901,23.2930908203125
O2,O1 plus row banking/unroll=2,128,128,128,14,112,112,112,2,317122,6.613076355472026,13.226152710944053,0.6613076355472026,1.3226152710944052,84,196,34317,67546,7.143,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,3.8233265817901234,19.3555908203125
O4,local A/B helper,128,128,128,14,112,112,112,1,721602,2.906244716616639,5.812489433233278,0.2906244716616639,0.5812489433233278,56,196,40296,83514,7.165,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,8.699869791666666,44.0430908203125
O5,helper with formal buffer partition pragmas,128,128,128,14,112,112,112,1,721602,2.906244716616639,5.812489433233278,0.2906244716616639,0.5812489433233278,56,196,40296,83514,7.165,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,8.699869791666666,44.0430908203125
O4inline,local A/B helper forced inline,128,128,128,14,112,112,112,1,2988226,0.7018050174250542,1.4036100348501084,0.07018050174250541,0.14036100348501082,56,196,43062,27623,7.165,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,36.02703028549383,182.3868408203125
O6a,O1 plus full-block fast path row_unroll=1,128,128,128,14,112,112,112,1,381634,5.495191728200318,10.990383456400636,0.5495191728200318,1.0990383456400636,56,392,62788,69099,7.218,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,4.601104359567901,23.2930908203125
O6b,O2 plus full-block fast path row_unroll=2,128,128,128,14,112,112,112,2,317186,6.611742006267616,13.223484012535232,0.6611742006267616,1.3223484012535232,84,392,64184,134637,7.143,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,3.824098186728395,19.3594970703125
O1_224_generic,O1 runtime-generic NKM at 224,224,224,224,14,112,112,112,1,381879,29.43189858567766,58.86379717135532,2.9431898585677665,5.886379717135533,56,199,35271,51289,7.653,ideal_lower_bound_model,optimistic lower bound,11239424,100352,100352,200704,401408,8.0,196,2,2,2,8,8,8,25088.0,25088.0,50176.0,57344.0,0.0,0.0,1,1,1,1,14,130,66560,116736.0,57344.0,3.2713044819078947,6.659441266741071
O6c_fullonly_224,O6 compile-time full-only at 224,224,224,224,14,112,112,112,1,381634,29.450793168323578,58.901586336647156,2.945079316832358,5.890158633664716,56,196,29822,19539,7.263,ideal_lower_bound_model,optimistic lower bound,11239424,100352,100352,200704,401408,8.0,196,2,2,2,8,8,8,25088.0,25088.0,50176.0,57344.0,0.0,0.0,1,1,1,1,14,130,66560,116736.0,57344.0,3.2692057291666665,6.655168805803571
O7a,O1 plus row banking/unroll=4,128,128,128,14,112,112,112,4,330946,6.336840451312299,12.673680902624598,0.6336840451312299,1.2673680902624598,224,196,42468,82719,7.246,ideal_lower_bound_model,optimistic lower bound,2097152,32768,32768,65536,131072,8.0,196,2,2,2,8,8,8,8192.0,8192.0,16384.0,10699.755102040815,0.0,0.0,1,1,1,1,14,130,66560,82944.0,16384.0,3.98999324845679,20.1993408203125
